sku,produto,categoria,tamanho,cor,foto_origem,arquivo,public_url
PROD-00001,Macacão Duo 2 em 1 - Preto (M),Macacão,M,Preto,Produtos_Images/PROD-00001.Foto.175647.jpg,PROD-00001.Foto.175647.jpg,/fitness-products/PROD-00001.Foto.175647.jpg
PROD-00002,Macacão Duo 2 em 1 - Marrom (G),Macacão,G,Marrom,Produtos_Images/PROD-00002.Foto.183200.jpg,PROD-00002.Foto.183200.jpg,/fitness-products/PROD-00002.Foto.183200.jpg
PROD-00003,Conj. Top + Short Run - Marrom (M),Conjunto,M,Marrom,Produtos_Images/PROD-00003.Foto.175927.jpg,PROD-00003.Foto.175927.jpg,/fitness-products/PROD-00003.Foto.175927.jpg
PROD-00004,Conj. Top + Short Run - Preto (M),Conjunto,M,Preto,Produtos_Images/PROD-00004.Foto.180639.jpg,PROD-00004.Foto.180639.jpg,/fitness-products/PROD-00004.Foto.180639.jpg
PROD-00005,Conj. Top + Short Run - Preto (G),Conjunto,G,Preto,Produtos_Images/PROD-00005.Foto.180838.jpg,PROD-00005.Foto.180838.jpg,/fitness-products/PROD-00005.Foto.180838.jpg
PROD-00006,Macacão Longo Gym - Vermelho (M),Macacão,M,Vermelho,Produtos_Images/PROD-00006.Foto.182608.jpg,PROD-00006.Foto.182608.jpg,/fitness-products/PROD-00006.Foto.182608.jpg
PROD-00007,Macacão Longo Gym - Preto (G),Macacão,G,Preto,Produtos_Images/PROD-00007.Foto.183656.jpg,PROD-00007.Foto.183656.jpg,/fitness-products/PROD-00007.Foto.183656.jpg
PROD-00008,Calça Legging - Preto (M),Legging,M,Preto,Produtos_Images/PROD-00008.Foto.182431.jpg,PROD-00008.Foto.182431.jpg,/fitness-products/PROD-00008.Foto.182431.jpg
PROD-00009,Calça Legging - Preto (G),Legging,G,Preto,Produtos_Images/PROD-00009.Foto.183447.jpg,PROD-00009.Foto.183447.jpg,/fitness-products/PROD-00009.Foto.183447.jpg
PROD-00010,Calça Legging - Azul (M),Legging,M,Azul,Produtos_Images/PROD-00010.Foto.182600.jpg,PROD-00010.Foto.182600.jpg,/fitness-products/PROD-00010.Foto.182600.jpg
